Name_sequence	Genome_length	Virus_name	Complete_segment_name
NC_008714	7390	Possum enterovirus W1	Possum enterovirus W1, complete genome.
NC_002501	26163	Frog adenovirus 1	Frog adenovirus 1, complete genome.
NC_023558	38966	Cronobacter phage Dev2 complete genome.	Cronobacter phage Dev2 complete genome.
NC_016447	219474	Aotine herpesvirus 1 strain S34E	Aotine herpesvirus 1 strain S34E, complete genome.
NC_016448	196691	Saimiriine herpesvirus 4 strain SqSHV	Saimiriine herpesvirus 4 strain SqSHV, complete genome.
NC_016570	157304	Escherichia phage vB_EcoM_CBA120	Escherichia phage vB_EcoM_CBA120, complete genome.
NC_006002	1657	St Croix River virus chromosome segment 6	St Croix River virus chromosome segment 6, complete genome.
NC_006003	1463	St Croix River virus chromosome segment 7	St Croix River virus chromosome segment 7, complete genome.
NC_016561	3048	Parrot hepatitis B virus	Parrot hepatitis B virus, complete genome.
NC_007920	10375	Gremmeniella abietina type B RNA virus XL1	Gremmeniella abietina type B RNA virus XL1, complete genome.
NC_004584	39538	Streptococcus prophage 315.1	Streptococcus prophage 315.1, complete genome.
NC_003606	9779	Johnsongrass mosaic virus	Johnsongrass mosaic virus, complete genome.
NC_003782	9275	Himetobi P virus genomic RNA	Himetobi P virus genomic RNA, complete sequence.
NC_002509	9835	Turnip mosaic virus	Turnip mosaic virus, complete genome.
NC_002199	17904	Tupaia paramyxovirus	Tupaia paramyxovirus, complete genome.
NC_004104	8033	Human papillomavirus type 90	Human papillomavirus type 90, complete genome.
NC_011317	4139	Anopheles gambiae densonucleosis virus	Anopheles gambiae densonucleosis virus, complete genome.
NC_012027	69378	Mycobacterium phage Phlyer	Mycobacterium phage Phlyer, complete genome.
NC_016441	9649	Yam bean mosaic virus	Yam bean mosaic virus, complete genome.
NC_003215	11442	Semliki forest virus	Semliki forest virus, complete genome.
NC_004679	18227	Staphylococcus phage phiP68	Staphylococcus phage phiP68, complete genome.
NC_006630	647	Bombyx mori cypovirus 1 satellite RNA	Bombyx mori cypovirus 1 satellite RNA, complete genome.
NC_007767	132959	Hyphantria cunea nucleopolyhedrovirus	Hyphantria cunea nucleopolyhedrovirus, complete genome.
NC_005776	6846	Oropouche virus	Oropouche virus, segment L
NC_005036	15192	Goose paramyxovirus SF02	Goose paramyxovirus SF02, complete genome.
NC_004011	10142	Leek yellow stripe virus	Leek yellow stripe virus, complete genome.
NC_003930	11919	Salmon pancreas disease virus	Salmon pancreas disease virus, complete genome.
NC_003504	2603	Bean calico mosaic virus	Bean calico mosaic virus, segment DNA A
NC_003765	1224	Rice dwarf virus	Rice dwarf virus, segment 9
NC_003027	150773	Lumpy skin disease virus NI-2490	Lumpy skin disease virus NI-2490, complete genome.
NC_003083	118584	Epiphyas postvittana NPV	Epiphyas postvittana NPV, complete genome.
NC_007989	8284	Campoletis sonorensis ichnovirus	Campoletis sonorensis ichnovirus, segment G
NC_012038	8542	Helleborus net necrosis virus	Helleborus net necrosis virus, complete genome.
NC_012753	37184	Streptococcus phage 5093	Streptococcus phage 5093, complete genome.
NC_012756	31276	Streptococcus phage PH10	Streptococcus phage PH10, complete genome.
NC_005778	9711	Chilli veinal mottle virus	Chilli veinal mottle virus, complete genome.
NC_004573	9899	Peru tomato mosaic virus	Peru tomato mosaic virus, complete genome.
NC_005288	9644	Lily mottle virus	Lily mottle virus, complete genome.
NC_003605	10080	Lettuce mosaic virus	Lettuce mosaic virus, complete genome.
NC_005282	86155	Enterobacteria phage Felix 01	Enterobacteria phage Felix 01, complete genome.
NC_003614	8911	Peanut bud necrosis virus L protein (L) gene	Peanut bud necrosis virus L protein (L) gene, complete cds.
NC_008291	198050	Taterapox virus	Taterapox virus, complete genome.
NC_008302	8912	Capsicum chlorosis virus	Capsicum chlorosis virus, segment L
NC_009087	8855	Chrysanthemum virus B	Chrysanthemum virus B, complete genome.
NC_008194	74483	Mycobacterium phage 244	Mycobacterium phage 244, complete genome.
NC_007409	62730	Acidianus two-tailed virus	Acidianus two-tailed virus, complete genome.
NC_009898	368683	Paramecium bursaria Chlorella virus NY2A	Paramecium bursaria Chlorella virus NY2A, complete genome.
NC_003220	5699	Planaria asexual strain-specific virus-like element type 1	Planaria asexual strain-specific virus-like element type 1, segment L
NC_006549	140131	Singapore grouper iridovirus	Singapore grouper iridovirus, complete genome.
NC_003310	196858	Monkeypox virus Zaire-96-I-16	Monkeypox virus Zaire-96-I-16, complete genome.
NC_004165	18630	Bacillus phage B103	Bacillus phage B103, complete genome.
NC_008799	43282	Staphylococcus phage phiETA3	Staphylococcus phage phiETA3, complete genome.
NC_010147	43011	Staphylococcus phage phiMR11	Staphylococcus phage phiMR11, complete genome.
NC_010155	40449	Acidianus filamentous virus 3	Acidianus filamentous virus 3, partial viral genome.
NC_008798	43265	Staphylococcus phage phiETA2	Staphylococcus phage phiETA2, complete genome.
NC_015225	35499	Simian adenovirus 49	Simian adenovirus 49, complete genome.
NC_003656	3753	Nilaparvata lugens reovirus	Nilaparvata lugens reovirus, segment 3
NC_008267	2762	Tomato yellow leaf curl Indonesia virus-[Lembang]	Tomato yellow leaf curl Indonesia virus-[Lembang], complete genome.
NC_009899	344691	Paramecium bursaria Chlorella virus AR158	Paramecium bursaria Chlorella virus AR158, complete genome.
NC_011810	65764	Pseudomonas phage PB1	Pseudomonas phage PB1, complete genome.
NC_015157	125956	Vibrio phage ICP1	Vibrio phage ICP1, complete genome.
NC_003699	3156	Eyach virus	Eyach virus, segment 4
NC_006053	1527	Lettuce ring necrosis virus	Lettuce ring necrosis virus, segment RNA 3
NC_015158	49675	Vibrio phage ICP2	Vibrio phage ICP2, complete genome.
NC_004830	10140	Deformed wing virus	Deformed wing virus, complete genome.
NC_013195	40761	Staphylococcus phage P954	Staphylococcus phage P954, complete genome.
NC_013197	17036	Thermus phage P23-77	Thermus phage P23-77, complete genome.
NC_011216	37635	Burkholderia phage KS10	Burkholderia phage KS10, complete genome.
NC_007806	42999	Pseudomonas phage 73	Pseudomonas phage 73, complete genome.
NC_007654	10305	Atlantic salmon swim bladder sarcoma virus	Atlantic salmon swim bladder sarcoma virus, complete genome.
NC_007497	44856	Burkholderia phage Bcep176	Burkholderia phage Bcep176, complete genome.
NC_006314	8186	Citrus psorosis virus	Citrus psorosis virus, segment RNA 1
NC_014821	9311	Apricot latent virus	Apricot latent virus, complete genome.
NC_016654	39474	Rhodococcus phage REQ3	Rhodococcus phage REQ3, complete genome.
NC_016659	47536	Cyanophage NATL2A-133	Cyanophage NATL2A-133, complete genome.
NC_011222	44929	Bacteroides phage B40-8	Bacteroides phage B40-8, complete genome.
NC_008370	30510	Lactococcus phage 712	Lactococcus phage 712, complete genome.
NC_001401	4679	Adeno-associated virus - 2	Adeno-associated virus - 2, complete genome.
NC_016572	2661	Cleome leaf crumple virus	Cleome leaf crumple virus, segment DNA B
NC_003823	6099	Ustilago maydis virus H1	Ustilago maydis virus H1, complete genome.
NC_013585	24186	Acidianus spindle-shaped virus 1	Acidianus spindle-shaped virus 1, complete genome.
NC_013587	15684	Sulfolobus spindle-shaped virus 6	Sulfolobus spindle-shaped virus 6, complete genome.
NC_013588	17602	Sulfolobus spindle-shaped virus 7	Sulfolobus spindle-shaped virus 7, complete genome.
NC_027983	167435	Enterobacteria phage AR1 DNA	Enterobacteria phage AR1 DNA, complete genome.
NC_020854	40658	Cyanophage KBS-S-2A genomic sequence.	Cyanophage KBS-S-2A genomic sequence.
NC_006644	16103	Cotesia congregata bracovirus	Cotesia congregata bracovirus, segment Circle 12
NC_004560	5784	Oyster mushroom spherical virus	Oyster mushroom spherical virus, complete genome.
NC_027987	29508	Leuconostoc phage 1-A4	Leuconostoc phage 1-A4, complete genome.
NC_027992	39552	Pseudomonas phage JBD25	Pseudomonas phage JBD25, complete genome.
NC_015208	39562	Pseudomonas phage phi15	Pseudomonas phage phi15, complete genome.
NC_015209	10638	Vibrio phage CTX chromosome I	Vibrio phage CTX chromosome I, complete genome.
NC_015569	178563	Synechococcus phage S-CRM01	Synechococcus phage S-CRM01, complete genome.
NC_015210	61440	Tsukamurella phage TPA2	Tsukamurella phage TPA2, complete genome.
NC_000929	36717	Enterobacteria phage Mu	Enterobacteria phage Mu, complete genome.
NC_001361	8533	Potato virus M	Potato virus M, complete genome.
NC_009018	38528	Streptococcus phage phi3396	Streptococcus phage phi3396, complete genome.
NC_006059	6624	Zygocactus virus X	Zygocactus virus X, complete genome.
NC_008204	67188	Mycobacterium phage Qyrzula	Mycobacterium phage Qyrzula, complete genome.
NC_015230	19063	Maverick-related virus strain Spezl	Maverick-related virus strain Spezl, complete genome.
NC_003443	15646	Human rubulavirus 2	Human rubulavirus 2, complete genome.
NC_005281	8587	Heterosigma akashiwo RNA virus SOG263	Heterosigma akashiwo RNA virus SOG263, complete genome.
NC_003698	3585	Eyach virus	Eyach virus, segment 3
NC_003038	212482	Invertebrate iridescent virus 6	Invertebrate iridescent virus 6, complete genome.
NC_016573	2678	Sida mosaic Alagoas virus	Sida mosaic Alagoas virus, segment DNA A
NC_007034	10790	Microplitis demolitor bracovirus	Microplitis demolitor bracovirus, segment G
NC_007035	11238	Microplitis demolitor bracovirus	Microplitis demolitor bracovirus, segment H
NC_007036	13704	Microplitis demolitor bracovirus	Microplitis demolitor bracovirus, segment J
NC_007037	15058	Microplitis demolitor bracovirus	Microplitis demolitor bracovirus, segment K
NC_016442	6506	Rattail cactus necrosis associated virus	Rattail cactus necrosis associated virus, complete genome.
NC_002728	18246	Nipah virus	Nipah virus, complete genome.
NC_005066	164018	Enterobacteria phage RB49	Enterobacteria phage RB49, complete genome.
NC_021868	58305	Streptococcus phage SP-QS1 complete genome.	Streptococcus phage SP-QS1 complete genome.
NC_028840	111751	Escherichia phage slur09	Escherichia phage slur09, segment 1
NC_016443	6139	Chocolate lily virus A	Chocolate lily virus A, segment RNA 1
NC_028856	80148	Bacillus phage Stahl	Bacillus phage Stahl, complete genome.
NC_016648	13459	Persea americana endornavirus	Persea americana endornavirus, complete genome.
NC_016159	9626	Keunjorong mosaic virus isolate Cheongwon	Keunjorong mosaic virus isolate Cheongwon, complete genome.
NC_016418	9565	Halastavi arva RNA virus	Halastavi arva RNA virus, complete genome.
NC_001514	8785	Squirrel monkey retrovirus - HLB	Squirrel monkey retrovirus - HLB, complete genome.
NC_005832	106332	Ambystoma tigrinum virus	Ambystoma tigrinum virus, complete genome.
NC_016444	4735	Chocolate lily virus A	Chocolate lily virus A, segment RNA 2
NC_016574	2649	Abutilon mosaic Brazil virus	Abutilon mosaic Brazil virus, segment DNA A
NC_010661	883	Cypovirus 5	Cypovirus 5, segment 10
NC_003845	2205	Tobacco streak virus	Tobacco streak virus, segment RNA 3
NC_007038	15218	Microplitis demolitor bracovirus	Microplitis demolitor bracovirus, segment M
NC_004542	8513	Canine calicivirus	Canine calicivirus, complete genome.
NC_016165	39283	Rhodobacter phage RcapMu	Rhodobacter phage RcapMu, complete genome.
NC_009021	29114	Bat coronavirus HKU9-1	Bat coronavirus HKU9-1, complete genome.
NC_003871	2835	Carrot red leaf luteovirus associated RNA clone a25 putative RNA dependent RNA polymerase	Carrot red leaf luteovirus associated RNA clone a25 putative RNA dependent RNA polymerase, complete cds.
NC_001678	8028	Rhesus monkey papillomavirus	Rhesus monkey papillomavirus, complete genome.
NC_003886	1445	Fusarium solani virus 1	Fusarium solani virus 1, segment RNA 2
NC_003891	2749	Tomato leaf curl Bangalore virus	Tomato leaf curl Bangalore virus, complete genome.
NC_004049	2617	Ophiostoma mitovirus 3a	Ophiostoma mitovirus 3a, complete genome.
NC_009986	15135	Sulfolobus spindle-shaped virus 4	Sulfolobus spindle-shaped virus 4, complete genome.
NC_003988	7374	Simian enterovirus A	Simian enterovirus A, complete genome.
NC_022641	1653	Changuinola virus	Changuinola virus, segment 6
NC_016575	2727	West African Asystasia virus 1	West African Asystasia virus 1, segment DNA A
NC_021248	307691	Choristoneura biennis entomopoxvirus	Choristoneura biennis entomopoxvirus, complete genome
NC_010353	35543	Streptococcus phage 858	Streptococcus phage 858, complete genome.
NC_011166	66530	Pseudomonas phage LMA2	Pseudomonas phage LMA2, complete genome.
NC_009878	52250	Mycobacterium phage Bethlehem	Mycobacterium phage Bethlehem, complete genome.
NC_002685	31301	Bovine adenovirus D	Bovine adenovirus D, complete genome.
NC_004777	37555	Yersinia pestis phage phiA1122	Yersinia pestis phage phiA1122, complete genome.
NC_001834	9264	Drosophila C virus strain EB	Drosophila C virus strain EB, complete genome.
NC_002641	159160	Meleagrid herpesvirus 1	Meleagrid herpesvirus 1, complete genome.
NC_005301	12108	Crimean-Congo hemorrhagic fever orthonairovirus	Crimean-Congo hemorrhagic fever orthonairovirus, segment L
NC_007045	15603	Staphylococcus phage PT1028	Staphylococcus phage PT1028, complete genome.
NC_001874	10011	Rhopalosiphum padi virus	Rhopalosiphum padi virus, complete genome.
NC_015049	124335	Rodent herpesvirus Peru	Rodent herpesvirus Peru, complete genome.
NC_001724	10688	Snakehead retrovirus	Snakehead retrovirus, complete genome.
NC_013955	15764	Ngaingan virus	Ngaingan virus, complete genome.
NC_012740	166418	Enterobacteria phage JSE	Enterobacteria phage JSE, complete genome.
NC_001541	7868	Cottontail rabbit papillomavirus	Cottontail rabbit papillomavirus, complete genome.
NC_006563	7722	Trichechus manatus latirostris papillomavirus 1	Trichechus manatus latirostris papillomavirus 1, complete genome.
NC_001690	7100	Human papillomavirus type 48	Human papillomavirus type 48, complete genome.
NC_010154	38179	Acidianus filamentous virus 8	Acidianus filamentous virus 8, complete genome.
NC_001693	7313	Human papillomavirus type 60	Human papillomavirus type 60, complete genome.
NC_002232	7565	Rabbit oral papillomavirus	Rabbit oral papillomavirus, complete genome.
NC_001691	7184	Human papillomavirus type 50	Human papillomavirus type 50, complete genome.
NC_005946	105903	Frog virus 3	Frog virus 3, complete genome.
NC_001676	7759	Human papillomavirus 54	Human papillomavirus 54, complete genome.
NC_001701	5106	Goose parvovirus	Goose parvovirus, complete genome.
NC_001800	8106	Garlic virus X	Garlic virus X, complete genome.
NC_007039	17355	Microplitis demolitor bracovirus	Microplitis demolitor bracovirus, segment N
NC_010945	39136	Streptococcus phage PH15	Streptococcus phage PH15, complete genome.
NC_028959	52261	Clostridium phage phiMMP03	Clostridium phage phiMMP03, complete genome.
NC_002072	34815	Streptococcus phage DT1	Streptococcus phage DT1, complete genome.
NC_009540	49902	Enterobacteria phage TLS	Enterobacteria phage TLS, complete genome.
NC_009383	8590	Phlox virus S	Phlox virus S, complete genome.
NC_021068	57611	Vibrio phage douglas 12A4 genomic sequence.	Vibrio phage douglas 12A4 genomic sequence.
NC_000902	60942	Enterobacteria phage VT2-Sakai	Enterobacteria phage VT2-Sakai, complete genome.
NC_021901	197693	Invertebrate iridovirus 22 complete genome.	Invertebrate iridovirus 22 complete genome.
NC_007919	12333	Nora virus	Nora virus, complete genome.
NC_004002	149955	Sheeppox virus 17077-99	Sheeppox virus 17077-99, complete genome.
NC_002815	6614	Cactus virus X	Cactus virus X, complete genome.
NC_012741	171451	Enterobacteria phage JS10	Enterobacteria phage JS10, complete genome.
NC_012743	62715	Burkholderia phage BcepIL02	Burkholderia phage BcepIL02, complete genome.
NC_012742	44080	Xanthomonas phage phiL7	Xanthomonas phage phiL7, complete genome.
NC_007710	46643	Xanthomonas oryzae phage OP2 DNA	Xanthomonas oryzae phage OP2 DNA, complete genome.
NC_005215	3696	Sin Nombre orthohantavirus	Sin Nombre orthohantavirus, segment M
NC_016576	2661	West African Asystasia virus 1	West African Asystasia virus 1, segment DNA B
NC_006884	178249	Prochlorococcus phage P-SSM4	Prochlorococcus phage P-SSM4, complete genome.
NC_001348	124884	Human herpesvirus 3	Human herpesvirus 3, complete genome.
NC_010646	31686	Beluga Whale coronavirus SW1	Beluga Whale coronavirus SW1, complete genome.
NC_008187	191100	Aedes taeniorhynchus iridescent virus	Aedes taeniorhynchus iridescent virus, complete genome.
NC_005077	3343	Guanarito mammarenavirus	Guanarito mammarenavirus, segment S
NC_004628	2754	Chilli leaf curl virus	Chilli leaf curl virus, complete genome.
NC_001340	329	Apple scar skin viroid	Apple scar skin viroid, complete genome.
NC_009990	37313	Thalassomonas phage BA3	Thalassomonas phage BA3, complete genome.
NC_011085	38457	Morganella phage MmP1	Morganella phage MmP1, complete genome.
NC_011285	64618	Mycobacterium phage Troll4	Mycobacterium phage Troll4, complete genome.
NC_006313	7133	Brazilian mammarenavirus	Brazilian mammarenavirus, segment L
NC_012812	12337	Bovine viral diarrhea virus 3 Th/04_KhonKaen	Bovine viral diarrhea virus 3 Th/04_KhonKaen, complete genome.
NC_005897	7089	Pirital mammarenavirus	Pirital mammarenavirus, segment L
NC_001555	9494	Tobacco etch virus	Tobacco etch virus, complete genome.
NC_004197	7276	Bovine papillomavirus 3	Bovine papillomavirus 3, complete genome.
NC_006962	7800	Blackberry yellow vein-associated virus	Blackberry yellow vein-associated virus, segment RNA 1
NC_001718	5075	Porcine parvovirus	Porcine parvovirus, complete genome.
NC_001449	11444	Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus, complete genome.
NC_015960	175699	Yoka poxvirus	Yoka poxvirus, complete genome.
NC_013528	11381	Fort Morgan virus	Fort Morgan virus, complete genome.
NC_013649	43809	Klebsiella phage KP34	Klebsiella phage KP34, complete genome.
NC_006944	15450	Mint virus 1	Mint virus 1, complete genome.
NC_003225	309286	White spot syndrome virus strain CN01	White spot syndrome virus strain CN01, complete genome.
NC_030689	8901	Parrot bornavirus 7	Parrot bornavirus 7, complete cds.
NC_028106	8914	Parrot bornavirus 2	Parrot bornavirus 2, complete genome.
NC_017915	9124	Sclerotinia sclerotiorum dsRNA mycovirus-L	Sclerotinia sclerotiorum dsRNA mycovirus-L, complete genome.
NC_000924	61670	Enterobacteria phage 933W	Enterobacteria phage 933W, complete genome.
NC_003391	205719	Camelpox virus	Camelpox virus, complete genome.
NC_004585	41072	Streptococcus prophage 315.2	Streptococcus prophage 315.2, complete genome.
NC_001747	5987	Potato leafroll virus	Potato leafroll virus, complete genome.
NC_004586	34419	Streptococcus pyogenes phage 315.3	Streptococcus pyogenes phage 315.3, complete genome.
NC_004587	41796	Streptococcus prophage 315.4	Streptococcus prophage 315.4, complete genome.
NC_004588	38206	Streptococcus prophage 315.5	Streptococcus prophage 315.5, complete genome.
NC_004589	40014	Streptococcus prophage 315.6	Streptococcus prophage 315.6, complete genome.
NC_007053	43095	Staphylococcus phage 3A	Staphylococcus phage 3A, complete genome.
NC_004820	61395	Bacillus prophage phBC6A51	Bacillus prophage phBC6A51, complete genome.
NC_004821	38472	Bacillus prophage phBC6A52	Bacillus prophage phBC6A52, complete genome.
NC_004171	4213	Pseudomonas phage phi13	Pseudomonas phage phi13, segment M
NC_008190	1791	Raphanus sativus cryptic virus 1	Raphanus sativus cryptic virus 1, segment 2
NC_004740	44082	Staphylococcus prophage phiN315	Staphylococcus prophage phiN315, complete genome.
NC_005356	41708	Staphylococcus phage 77	Staphylococcus phage 77, complete genome.
NC_007055	43681	Staphylococcus phage 37	Staphylococcus phage 37, complete genome.
NC_007060	41902	Staphylococcus phage 55	Staphylococcus phage 55, complete genome.
NC_011318	38753	Clostridium phage 39-O	Clostridium phage 39-O, complete genome.
NC_027996	175720	Campylobacter phage CPt10	Campylobacter phage CPt10, complete genome.
NC_004178	3183	Infectious bursal disease virus	Infectious bursal disease virus, segment A
NC_008191	1866	Raphanus sativus cryptic virus 1	Raphanus sativus cryptic virus 1, segment 1
NC_027990	48211	Lactobacillus phage LBR48	Lactobacillus phage LBR48, complete genome.
NC_013135	12390	Drosophila melanogaster sigma virus AP30 N	Drosophila melanogaster sigma virus AP30 N, P, X, M, G and L genes, genomic RNA, isolate AP30.
NC_028987	41243	Acinetobacter phage IME200	Acinetobacter phage IME200, complete genome.
NC_036389	9932	Chequa iflavirus isolate A14-49.4	Chequa iflavirus isolate A14-49.4, complete genome.
NC_029005	56451	Streptomyces phage phiSAJS1	Streptomyces phage phiSAJS1, complete genome.
NC_026439	14953	Forest pouched giant rat arterivirus isolate PREDICT-06509	Forest pouched giant rat arterivirus isolate PREDICT-06509, complete genome.
NC_038236	11162	Vesicular stomatitis Indiana virus strain 98COE	Vesicular stomatitis Indiana virus strain 98COE, complete genome.
NC_011547	26487	Bulbul coronavirus HKU11-934	Bulbul coronavirus HKU11-934, complete genome.
NC_038264	73200	Porcine lymphotropic herpesvirus long unique region	Porcine lymphotropic herpesvirus long unique region, partial sequence.
NC_038265	59673	Porcine lymphotropic herpesvirus 2 isolate 568 long unique region	Porcine lymphotropic herpesvirus 2 isolate 568 long unique region, partial sequence.
NC_003715	6374	Pseudomonas virus phi6	Pseudomonas virus phi6, segment L
NC_038269	12230	Pteromalus puparum negative-strand RNA virus 1	Pteromalus puparum negative-strand RNA virus 1, complete genome.
NC_038270	15462	Simian Agent 10	Simian Agent 10, complete genome.
NC_038271	15378	Bat Paramyxovirus Epo_spe/AR1/DRC/2009	Bat Paramyxovirus Epo_spe/AR1/DRC/2009, complete genome.
NC_038272	15140	Bovine respiratory syncytial virus ATCC51908	Bovine respiratory syncytial virus ATCC51908, complete genome.
NC_038275	13106	Mossuril virus nucleoprotein	Mossuril virus nucleoprotein, phosphoprotein, hypothetical proteins, matrix, glycoprotein, hypothetical protein, and polymerase genes, complete cds.
NC_038276	10881	Nishimuro virus viral cRNA for hypothetical proteins	Nishimuro virus viral cRNA for hypothetical proteins, complete cds.
NC_003716	4063	Pseudomonas virus phi6	Pseudomonas virus phi6, segment M
NC_003762	2449	Rice dwarf virus	Rice dwarf virus, segment 5
NC_038278	14409	Drosophila affinis sigmavirus nucleocapsid protein (N)	Drosophila affinis sigmavirus nucleocapsid protein (N), polymerase-associated protein (P), PP3 (X), matrix protein (M), glycoprotein (G), and RNA-dependent RNA polymerase (L) genes, complete cds.
NC_038279	12790	Drosophila ananassae sigmavirus nucleocapsid protein (N)	Drosophila ananassae sigmavirus nucleocapsid protein (N), polymerase-associated protein (P), PP3 (X), matrix protein (M), glycoprotein (G), and RNA-dependent RNA polymerase (L) genes, complete cds.
NC_038280	12486	Drosophila immigrans sigmavirus strain SCM45623 nucleocapsid protein	Drosophila immigrans sigmavirus strain SCM45623 nucleocapsid protein, polymerase-associated protein, PP3, matrix protein, glycoprotein, and RNA-dependent RNA polymerase genes, complete cds.
NC_038281	12625	Drosophila melanogaster sigma virus HAP23	Drosophila melanogaster sigma virus HAP23, complete genome.
NC_000939	4415	Pothos latent virus genes for replicase	Pothos latent virus genes for replicase, capsid protein and movement protein.
NC_038282	12659	Ekpoma virus 1 isolate EKV-1	Ekpoma virus 1 isolate EKV-1, partial genome.
NC_038283	12674	Ekpoma virus 2 isolate EKV-2	Ekpoma virus 2 isolate EKV-2, partial genome.
NC_038284	11092	Durham virus nucleocapsid	Durham virus nucleocapsid, phosphoprotein, putative protein C, matrix protein, small hydrophobic protein, and glycoprotein genes, complete cds; and RNA polymerase gene, partial cds.
NC_038285	11135	Carajas virus nucleoprotein	Carajas virus nucleoprotein, phosphoprotein, matrix, glycoprotein, and polymerase genes, complete cds.
NC_038286	11271	Piry virus strain BeAn2423	Piry virus strain BeAn2423, complete genome.
NC_038287	11068	Radi virus nucleoprotein	Radi virus nucleoprotein, phosphoprotein, matrix, glycoprotein, and polymerase genes, complete cds.
NC_038289	8916	Watermelon bud necrosis virus	Watermelon bud necrosis virus, segment L
NC_038291	15411	Porcine reproductive and respiratory syndrome virus 2	Porcine reproductive and respiratory syndrome virus 2, complete genome.
NC_038292	15264	Kibale red-tailed guenon virus 1 isolate krtg05	Kibale red-tailed guenon virus 1 isolate krtg05, partial genome.
NC_038293	15370	Simian hemorrhagic encephalitis virus isolate Sukhumi	Simian hemorrhagic encephalitis virus isolate Sukhumi, complete genome.
NC_038294	30111	Betacoronavirus England 1	Betacoronavirus England 1, complete genome.
NC_016577	2633	Abutilon mosaic Brazil virus	Abutilon mosaic Brazil virus, segment DNA B
NC_016578	2725	Cleome leaf crumple virus	Cleome leaf crumple virus, segment DNA A
NC_038295	27318	Fathead minnow nidovirus replicase polyprotein 1ab (pp1ab)	Fathead minnow nidovirus replicase polyprotein 1ab (pp1ab), replicase polyprotein 1a (pp1a), spike glycoprotein (S), membrane protein (M), and nucleocapsid protein (N) genes, complete cds.
NC_038296	20795	Karang Sari virus strain JKT10701	Karang Sari virus strain JKT10701, complete genome.
NC_038297	20307	Dak Nong virus RNA	Dak Nong virus RNA, complete genome.
NC_038301	9655	Lygus lineolaris virus 1 isolate LlV-1	Lygus lineolaris virus 1 isolate LlV-1, complete genome.
NC_038302	10967	Nilaparvata lugens honeydew virus-1 genomic RNA	Nilaparvata lugens honeydew virus-1 genomic RNA, complete genome, isolate: Izumo.
NC_038305	8530	Boone cardiovirus 1 isolate BCV-1 polyprotein gene	Boone cardiovirus 1 isolate BCV-1 polyprotein gene, complete cds.
NC_038320	9905	Carrot necrotic dieback virus strain Anthriscus	Carrot necrotic dieback virus strain Anthriscus, complete genome.
NC_038321	9431	Chaetoceros tenuissimus RNA virus genes for replicase polyprotein	Chaetoceros tenuissimus RNA virus genes for replicase polyprotein, structural polyprotein, complete cds.
NC_006317	3366	Brazilian mammarenavirus	Brazilian mammarenavirus, segment S
NC_038329	659	Clitoria yellow vein virus virion protein gene	Clitoria yellow vein virus virion protein gene, complete cds.
NC_004640	2773	Sweet potato leaf curl Georgia virus	Sweet potato leaf curl Georgia virus, complete genome.
NC_038419	10557	Carnation necrotic fleck virus	Carnation necrotic fleck virus, partial genome.
NC_005134	7438	Human papillomavirus type 96	Human papillomavirus type 96, complete genome.
NC_004295	5028	Human erythrovirus V9	Human erythrovirus V9, complete genome.
