Name_sequence	Genome_length	Virus_name	Complete_segment_name
NC_040306.1	2928	Human feces pecovirus strain PeCV-NI	Human feces pecovirus strain PeCV-NI, complete genome
NC_040806.1	7328	Gammapapillomavirus sp. isolate Gamma_w27c03a	Gammapapillomavirus sp. isolate Gamma_w27c03a, complete genome
NC_040805.1	7282	Gammapapillomavirus sp. isolate GammaiCH2_EV03c434	Gammapapillomavirus sp. isolate GammaiCH2_EV03c434, complete genome
NC_040804.1	7255	Gammapapillomavirus sp. isolate Gamma_w27c157c	Gammapapillomavirus sp. isolate Gamma_w27c157c, complete genome
NC_040803.1	7251	Gammapapillomavirus sp. isolate Gamma_w23c08c	Gammapapillomavirus sp. isolate Gamma_w23c08c, complete genome
NC_040691.1	7270	Gammapapillomavirus sp. isolate Gammai915_ga2c70	Gammapapillomavirus sp. isolate Gammai915_ga2c70, complete genome
NC_040688.1	7191	Gammapapillomavirus sp. isolate Gamma_w11C51	Gammapapillomavirus sp. isolate Gamma_w11C51, complete genome
NC_040671.1	4857	Adeno-associated virus isolate MHH-05-2015	Adeno-associated virus isolate MHH-05-2015, complete genome
NC_040620.1	7350	Gammapapillomavirus sp. isolate GammaDyskD_w07c34d	Gammapapillomavirus sp. isolate GammaDyskD_w07c34d, complete genome
NC_040619.1	7257	Gammapapillomavirus sp. isolate Gamma_LCOSOc196	Gammapapillomavirus sp. isolate Gamma_LCOSOc196, complete genome
NC_040550.1	7226	Gammapapillomavirus sp. isolate Gamma_w34c04a	Gammapapillomavirus sp. isolate Gamma_w34c04a, complete genome
NC_040379.1	2277	Gemycircularvirus sp. isolate yc-18	Gemycircularvirus sp. isolate yc-18, complete genome
NC_043694.1	4365	Tacaiuma orthobunyavirus strain BeAn73 polyprotein gene	Tacaiuma orthobunyavirus strain BeAn73 polyprotein gene, complete cds
NC_043693.1	975	Tacaiuma orthobunyavirus strain BeAn73 nucleocapsid protein gene	Tacaiuma orthobunyavirus strain BeAn73 nucleocapsid protein gene, complete cds
NC_043692.1	6822	Tacaiuma orthobunyavirus strain BeAn73 RNA-dependent RNA polymerase gene	Tacaiuma orthobunyavirus strain BeAn73 RNA-dependent RNA polymerase gene, complete cds
NC_043635.1	969	Melao virus strain TRVL 9375 segment S	Melao virus strain TRVL 9375 segment S, complete sequence
NC_043634.1	6957	Melao virus strain TRVL 9375 segment L	Melao virus strain TRVL 9375 segment L, complete sequence
NC_043633.1	4498	Melao virus strain TRVL 9375 segment M	Melao virus strain TRVL 9375 segment M, complete sequence
NC_043629.1	6961	Keystone virus strain B64-5587.05 segment L	Keystone virus strain B64-5587.05 segment L, complete sequence
NC_043628.1	965	Keystone virus strain B64-5587.05 segment S	Keystone virus strain B64-5587.05 segment S, complete sequence
NC_043627.1	4529	Keystone virus strain B64-5587.05 segment M	Keystone virus strain B64-5587.05 segment M, complete sequence
NC_043620.1	950	Cache Valley virus strain 6V633 segment S	Cache Valley virus strain 6V633 segment S, complete sequence
NC_043619.1	4463	Cache Valley virus strain 6V633 segment M	Cache Valley virus strain 6V633 segment M, complete sequence
NC_043618.1	6870	Cache Valley virus strain 6V633 segment L	Cache Valley virus strain 6V633 segment L, complete sequence
NC_043617.1	6883	Fort Sherman virus strain 86MSP18 segment L	Fort Sherman virus strain 86MSP18 segment L, complete sequence
NC_043616.1	948	Fort Sherman virus strain 86MSP18 segment S	Fort Sherman virus strain 86MSP18 segment S, complete sequence
NC_043615.1	4463	Fort Sherman virus strain 86MSP18 segment M	Fort Sherman virus strain 86MSP18 segment M, complete sequence
NC_043590.1	974	Ingwavuma virus isolate SA An 4165 nucleocapsid protein gene	Ingwavuma virus isolate SA An 4165 nucleocapsid protein gene, complete cds
NC_043589.1	4492	Ingwavuma virus isolate SA An 4165 membrane glycoprotein polyprotein gene	Ingwavuma virus isolate SA An 4165 membrane glycoprotein polyprotein gene, complete cds
NC_043588.1	6922	Ingwavuma virus isolate SA An 4165 RNA polymerase gene	Ingwavuma virus isolate SA An 4165 RNA polymerase gene, complete cds
NC_043587.1	6888	Ilesha virus strain R5964 segment L	Ilesha virus strain R5964 segment L, complete sequence
NC_043586.1	4440	Ilesha virus strain R5964 segment M	Ilesha virus strain R5964 segment M, complete sequence
NC_043585.1	970	Ilesha virus strain R5964 segment S	Ilesha virus strain R5964 segment S, complete sequence
NC_043581.1	948	Batai virus strain MS50 segment S	Batai virus strain MS50 segment S, complete sequence
NC_043580.1	6874	Batai virus strain MS50 segment L	Batai virus strain MS50 segment L, complete sequence
NC_043579.1	4448	Batai virus strain MS50 segment M	Batai virus strain MS50 segment M, complete sequence
NC_040876.1	7521	Norovirus GII.P7_GII.6	Norovirus GII.P7_GII.6, complete genome
NC_039477.1	7567	Norovirus GII	Norovirus GII, complete genome
NC_044047.1	7637	Norovirus dog/GVI.1/HKU_Ca026F/2007/HKG ORF1 polyprotein	Norovirus dog/GVI.1/HKU_Ca026F/2007/HKG ORF1 polyprotein, VP1 capsid protein, and VP2 minor structural protein genes, complete cds
NC_039475.1	7556	Norovirus GII.17	Norovirus GII.17, complete genome
NC_029647.1	7527	Norovirus GIV	Norovirus GIV, complete sequence
NC_029645.1	7313	Norovirus GIII	Norovirus GIII, complete sequence
NC_029055.1	10290	Spondweni virus	Spondweni virus, complete genome
NC_012532.1	10794	Zika virus	Zika virus, complete genome
NC_009942.1	11029	West Nile virus lineage 1	West Nile virus lineage 1, complete genome
NC_001563.2	10962	West Nile virus lineage 2	West Nile virus lineage 2, complete genome
NC_044046.1	7543	Norovirus GII/Hu/JP/2011/GII/Yuzawa/Gira2HS	Norovirus GII/Hu/JP/2011/GII/Yuzawa/Gira2HS, complete genome
NC_044045.1	7551	Norovirus GII/Hu/JP/2007/GII.P15_GII.15/Sapporo/HK299	Norovirus GII/Hu/JP/2007/GII.P15_GII.15/Sapporo/HK299, complete genome
NC_039897.1	7745	Norovirus GI/Hu/JP/2007/GI.P3_GI.3/Shimizu/KK2866	Norovirus GI/Hu/JP/2007/GI.P3_GI.3/Shimizu/KK2866, complete genome
NC_038426.1	9143	Hepacivirus B polypeptide gene	Hepacivirus B polypeptide gene, complete cds
NC_001475.2	10707	Dengue virus 3	Dengue virus 3, complete genome
NC_001474.2	10723	Dengue virus 2	Dengue virus 2, complete genome
NC_004102.1	9646	Hepatitis C virus genotype 1	Hepatitis C virus genotype 1, complete genome
NC_002640.1	10649	Dengue virus 4	Dengue virus 4, complete genome
NC_043608.1	4420	Tataguine virus strain H9963 polyprotein gene	Tataguine virus strain H9963 polyprotein gene, complete cds
NC_043607.1	6816	Tataguine virus strain H9963 RNA-dependent RNA polymerase gene	Tataguine virus strain H9963 RNA-dependent RNA polymerase gene, complete cds
NC_043606.1	816	Tataguine virus strain H9963 nucleocapsid protein gene	Tataguine virus strain H9963 nucleocapsid protein gene, complete cds
NC_043452.1	1681	Severe fever with thrombocytopenia syndrome virus strain HNXH segment S	Severe fever with thrombocytopenia syndrome virus strain HNXH segment S, complete sequence
NC_043451.1	3336	Severe fever with thrombocytopenia syndrome virus strain HNXH segment M	Severe fever with thrombocytopenia syndrome virus strain HNXH segment M, complete sequence
NC_043450.1	6255	Severe fever with thrombocytopenia syndrome virus strain HNXH segment L	Severe fever with thrombocytopenia syndrome virus strain HNXH segment L, complete sequence
NC_043445.1	13072	Guenon simian foamy virus isolate AG16	Guenon simian foamy virus isolate AG16, complete genome
NC_043067.1	11892	Bas-Congo virus isolate BASV-1 N protein gene	Bas-Congo virus isolate BASV-1 N protein gene, partial cds; P protein, M protein, U1 protein, U2 protein, G protein, and U3 protein genes, complete cds; and L protein gene, partial cds
NC_043037.1	6924	Umbre virus strain IG1424 RNA-dependent RNA polymerase gene	Umbre virus strain IG1424 RNA-dependent RNA polymerase gene, complete cds
NC_043036.1	4448	Umbre virus strain IG1424 polyprotein gene	Umbre virus strain IG1424 polyprotein gene, complete cds
NC_043035.1	845	Umbre virus strain IG1424 nucleocapsid protein and NSs protein genes	Umbre virus strain IG1424 nucleocapsid protein and NSs protein genes, complete cds
NC_039188.1	1067	Wyeomyia virus strain original nucleocapsid protein gene	Wyeomyia virus strain original nucleocapsid protein gene, complete cds
NC_039187.1	4540	Wyeomyia virus strain original polyprotein gene	Wyeomyia virus strain original polyprotein gene, complete cds
NC_039186.1	6854	Wyeomyia virus strain original RNA-dependent RNA polymerase gene	Wyeomyia virus strain original RNA-dependent RNA polymerase gene, complete cds
NC_038613.1	761	Orungo virus isolate UGMP 359 segment 10	Orungo virus isolate UGMP 359 segment 10, complete sequence
NC_038612.1	925	Orungo virus isolate UGMP 359 segment 9	Orungo virus isolate UGMP 359 segment 9, complete sequence
NC_038611.1	1735	Orungo virus isolate UGMP 359 segment 5	Orungo virus isolate UGMP 359 segment 5, complete sequence
NC_038610.1	2781	Orungo virus isolate UGMP 359 segment 3	Orungo virus isolate UGMP 359 segment 3, complete sequence
NC_038609.1	1605	Orungo virus isolate UGMP 359 segment 6	Orungo virus isolate UGMP 359 segment 6, complete sequence
NC_038608.1	1089	Orungo virus isolate UGMP 359 segment 8	Orungo virus isolate UGMP 359 segment 8, complete sequence
NC_038607.1	1166	Orungo virus isolate UGMP 359 segment 7	Orungo virus isolate UGMP 359 segment 7, complete sequence
NC_038606.1	1957	Orungo virus isolate UGMP 359 segment 4	Orungo virus isolate UGMP 359 segment 4, complete sequence
NC_038605.1	2933	Orungo virus isolate UGMP 359 segment 2	Orungo virus isolate UGMP 359 segment 2, complete sequence
NC_038604.1	3942	Orungo virus isolate UGMP 359 segment 1	Orungo virus isolate UGMP 359 segment 1, complete sequence
NC_038603.1	997	Lebombo virus isolate SAAR 3896 segment 9	Lebombo virus isolate SAAR 3896 segment 9, complete sequence
NC_038602.1	739	Lebombo virus isolate SAAR 3896 segment 10	Lebombo virus isolate SAAR 3896 segment 10, complete sequence
NC_038601.1	1736	Lebombo virus isolate SAAR 3896 segment 5	Lebombo virus isolate SAAR 3896 segment 5, complete sequence
NC_038600.1	3017	Lebombo virus isolate SAAR 3896 segment 2	Lebombo virus isolate SAAR 3896 segment 2, complete sequence
NC_038599.1	1166	Lebombo virus isolate SAAR 3896 segment 7	Lebombo virus isolate SAAR 3896 segment 7, complete sequence
NC_038598.1	1108	Lebombo virus isolate SAAR 3896 segment 8	Lebombo virus isolate SAAR 3896 segment 8, complete sequence
NC_038597.1	1601	Lebombo virus isolate SAAR 3896 segment 6	Lebombo virus isolate SAAR 3896 segment 6, complete sequence
NC_038596.1	1971	Lebombo virus isolate SAAR 3896 segment 4	Lebombo virus isolate SAAR 3896 segment 4, complete sequence
NC_038595.1	2976	Lebombo virus isolate SAAR 3896 segment 3	Lebombo virus isolate SAAR 3896 segment 3, complete sequence
NC_038594.1	3936	Lebombo virus isolate SAAR 3896 segment 1	Lebombo virus isolate SAAR 3896 segment 1, complete sequence
NC_038504.1	6965	Hepatitis E virus rat/R63/DEU/2009	Hepatitis E virus rat/R63/DEU/2009, complete genome
NC_038312.1	7208	Human rhinovirus 3	Human rhinovirus 3, complete genome
NC_038306.1	7398	Human coxsackievirus A2 strain Fleetwood	Human coxsackievirus A2 strain Fleetwood, complete genome
NC_035213.1	1942	Human fecal virus Jorvi3	Human fecal virus Jorvi3, complete genome
NC_035212.1	3925	Human fecal virus Jorvi2	Human fecal virus Jorvi2, complete genome
NC_035211.1	2343	Human fecal virus Jorvi4	Human fecal virus Jorvi4, complete genome
NC_014952.1	7259	Human papillomavirus type 128	Human papillomavirus type 128, complete genome
NC_014953.1	7219	Human papillomavirus type 129	Human papillomavirus type 129, complete genome
NC_014954.1	7182	Human papillomavirus type 131	Human papillomavirus type 131, complete genome
NC_014956.1	7309	Human papillomavirus type 134	Human papillomavirus type 134, complete genome
NC_012735.1	10814	Wesselsbron virus strain SAH177	Wesselsbron virus strain SAH177, complete genome
NC_012213.1	7149	Human papillomavirus type 108	Human papillomavirus type 108, complete genome
NC_009333.1	137969	Human herpesvirus 8 strain GK18	Human herpesvirus 8 strain GK18, complete genome
NC_001669.1	5243	Simian virus 40 complete genome	Simian virus 40 complete genome
NC_040776.1	10794	Rocio virus strain SPH 34675	Rocio virus strain SPH 34675, complete genome
NC_030791.1	9443	Hepatitis C virus genotype 7	Hepatitis C virus genotype 7, complete genome
NC_039218.1	10376	Kyasanur forest disease virus polyprotein gene	Kyasanur forest disease virus polyprotein gene, complete cds
NC_035889.1	10808	Zika virus isolate ZIKV/H. sapiens/Brazil/Natal/2015	Zika virus isolate ZIKV/H. sapiens/Brazil/Natal/2015, complete genome
NC_009028.2	10755	Ilheus virus	Ilheus virus, complete genome
NC_007580.2	10940	Saint Louis encephalitis virus	Saint Louis encephalitis virus, complete genome
NC_006551.1	11066	Usutu virus	Usutu virus, complete cds
NC_001437.1	10976	Japanese encephalitis virus	Japanese encephalitis virus, genome
NC_005062.1	10787	Omsk hemorrhagic fever virus	Omsk hemorrhagic fever virus, complete genome
NC_003690.1	10943	Langat virus	Langat virus, complete genome
NC_003687.1	10839	Powassan virus	Powassan virus, complete genome
NC_000943.1	11014	Murray Valley encephalitis virus	Murray Valley encephalitis virus, complete genome
NC_001809.1	10871	Louping ill virus	Louping ill virus, complete genome
NC_001672.1	11141	Tick-borne encephalitis virus	Tick-borne encephalitis virus, complete genome
NC_001655.1	9399	Hepatitis GB virus B	Hepatitis GB virus B, complete genome
NC_002031.1	10862	Yellow fever virus	Yellow fever virus, complete genome
NC_009824.1	9456	Hepatitis C virus genotype 3	Hepatitis C virus genotype 3, genome
NC_009827.1	9628	Hepatitis C virus genotype 6	Hepatitis C virus genotype 6, complete genome
NC_009823.1	9711	Hepatitis C virus genotype 2	Hepatitis C virus genotype 2, complete genome
NC_009826.1	9343	Hepatitis C virus genotype 5	Hepatitis C virus genotype 5, genome
NC_009825.1	9355	Hepatitis C virus genotype 4	Hepatitis C virus genotype 4, genome
NC_001477.1	10735	Dengue virus 1	Dengue virus 1, complete genome
NC_001664.4	159378	Human betaherpesvirus 6A	Human betaherpesvirus 6A, variant A DNA, complete virion genome, isolate U1102
NC_028459.1	2272	Human associated gemyvongvirus 1 isolate DB1	Human associated gemyvongvirus 1 isolate DB1, complete genome
NC_029646.1	7518	Norovirus GII nonstructural polyprotein (ORF1)	Norovirus GII nonstructural polyprotein (ORF1), VP1 (ORF2), and VP2 (ORF3) genes, complete cds
NC_039476.1	7536	Norovirus GII.2 strain Env/CHN/2016/GII.P16-GII.2/BJSMQ	Norovirus GII.2 strain Env/CHN/2016/GII.P16-GII.2/BJSMQ, complete genome
NC_038235.1	15222	Human orthopneumovirus Subgroup A	Human orthopneumovirus Subgroup A, complete cds
NC_014373.1	18940	Bundibugyo ebolavirus	Bundibugyo ebolavirus, complete genome
NC_001781.1	15225	Human orthopneumovirus Subgroup B	Human orthopneumovirus Subgroup B, complete genome
NC_004162.2	11826	Chikungunya virus	Chikungunya virus, complete genome
NC_038300.1	3677	Bayou virus glycoprotein precursor	Bayou virus glycoprotein precursor, complete cds
NC_038299.1	6554	Bayou virus isolate HV F0260003 segment L	Bayou virus isolate HV F0260003 segment L, complete sequence
NC_038298.1	1958	Bayou virus nucleocapsid protein	Bayou virus nucleocapsid protein, complete cds
NC_039199.1	13350	Human metapneumovirus isolate 00-1	Human metapneumovirus isolate 00-1, complete genome
NC_039193.1	1863	Punta Toro virus strain Adames N protein and NS protein genes	Punta Toro virus strain Adames N protein and NS protein genes, complete cds
NC_039192.1	6407	Punta Toro virus strain Adames L protein gene	Punta Toro virus strain Adames L protein gene, complete cds
NC_039191.1	4348	Punta Toro virus strain Adames M protein gene	Punta Toro virus strain Adames M protein gene, complete cds
NC_034616.1	7812	Human papillomavirus type 85 isolate 114B	Human papillomavirus type 85 isolate 114B, complete genome
NC_034506.1	4486	Guaroa virus strain BeH22063 segment M	Guaroa virus strain BeH22063 segment M, complete sequence
NC_034487.1	6824	Guaroa virus strain BeH22063 segment L	Guaroa virus strain BeH22063 segment L, complete sequence
NC_034486.1	955	Guaroa virus strain BeH22063 segment S	Guaroa virus strain BeH22063 segment S, complete sequence
NC_030449.1	2951	Unidentified circular ssDNA virus	Unidentified circular ssDNA virus, complete genome
NC_039237.1	12513	Bovine viral diarrhea virus 2 polyprotein gene	Bovine viral diarrhea virus 2 polyprotein gene, complete cds
NC_039223.1	15192	Newcastle disease virus isolate JSD0812	Newcastle disease virus isolate JSD0812, complete genome
NC_039215.1	1856	Cyclovirus VN isolate hcf2	Cyclovirus VN isolate hcf2, complete genome
NC_039206.1	11121	Jurona virus nucleoprotein	Jurona virus nucleoprotein, phosphoprotein, matrix, glycoprotein, and polymerase genes, complete cds
NC_038319.1	7339	polyprotein [echovirus 22 EV22	polyprotein [echovirus 22 EV22, Harris, Genomic RNA Complete, 7339 nt]
NC_039089.1	8017	Human papillomavirus type 71 DNA	Human papillomavirus type 71 DNA, complete genome
NC_039086.1	7268	Human papillomavirus type 187 isolate ACS447	Human papillomavirus type 187 isolate ACS447, complete genome
NC_039070.1	2601	Human feces smacovirus 2 strain SmaCV2	Human feces smacovirus 2 strain SmaCV2, complete genome
NC_039063.1	2459	Human associated huchismacovirus 3 isolate France/1/2009/3664	Human associated huchismacovirus 3 isolate France/1/2009/3664, complete genome
NC_039062.1	2471	Human associated huchismacovirus 2 isolate France/8/2008/2444	Human associated huchismacovirus 2 isolate France/8/2008/2444, complete genome
NC_039061.1	2460	Human associated huchismacovirus 1 isolate Oregon/6/2011/GottageGrove/5A1	Human associated huchismacovirus 1 isolate Oregon/6/2011/GottageGrove/5A1, complete genome
NC_039050.1	4456	Cutavirus strain BR-337 NS1	Cutavirus strain BR-337 NS1, putative VP1, hypothetical protein, VP2, and hypothetical protein genes, complete cds
NC_039025.1	11954	Eastern chimpanzee simian foamy virus clone pHSRV13	Eastern chimpanzee simian foamy virus clone pHSRV13, complete genome
NC_039024.1	13220	Central cimpanzee simian foamy virus isolate BAD327	Central cimpanzee simian foamy virus isolate BAD327, complete genome
NC_038914.1	7324	Human papillomavirus type 184 complete genome	Human papillomavirus type 184 complete genome, isolate SIBX17
NC_038889.1	7852	Human papillomavirus type 30 genomic DNA	Human papillomavirus type 30 genomic DNA
NC_038880.1	8749	Rosavirus M-7 polyprotein gene	Rosavirus M-7 polyprotein gene, complete cds
NC_038878.1	6944	Human rhinovirus NAT001 polyprotein gene	Human rhinovirus NAT001 polyprotein gene, complete cds
NC_038728.1	6797	Catu virus strain BeH 151 RNA-dependent RNA polymerase gene	Catu virus strain BeH 151 RNA-dependent RNA polymerase gene, complete cds
NC_038727.1	4420	Catu virus strain BeH 151 polyprotein gene	Catu virus strain BeH 151 polyprotein gene, complete cds
NC_038726.1	807	Catu virus strain BeH 151 nucleocapsid protein gene	Catu virus strain BeH 151 nucleocapsid protein gene, complete cds
NC_038667.1	1600	Pulau reovirus segment S1	Pulau reovirus segment S1, complete sequence
NC_038666.1	1984	Pulau reovirus segment M3	Pulau reovirus segment M3, complete sequence
NC_038665.1	3896	Pulau reovirus segment L1	Pulau reovirus segment L1, complete sequence
NC_038664.1	2145	Pulau reovirus segment M2	Pulau reovirus segment M2, complete sequence
NC_038663.1	1192	Pulau reovirus segment S3	Pulau reovirus segment S3, complete sequence
NC_038662.1	3954	Pulau reovirus segment L3	Pulau reovirus segment L3, complete sequence
NC_038661.1	2295	Pulau reovirus segment M1	Pulau reovirus segment M1, complete sequence
NC_038660.1	3832	Pulau reovirus segment L2	Pulau reovirus segment L2, complete sequence
NC_038659.1	1322	Pulau reovirus segment S2	Pulau reovirus segment S2, complete sequence
NC_038658.1	1185	Pulau reovirus segment S4	Pulau reovirus segment S4, complete sequence
NC_038525.1	7227	Human papillomavirus type 204 isolate A342	Human papillomavirus type 204 isolate A342, complete genome
NC_038524.1	7226	Human papillomavirus type 175 isolate SE87	Human papillomavirus type 175 isolate SE87, complete genome
NC_038523.1	7203	Human papillomavirus type 172	Human papillomavirus type 172, complete genome
NC_038522.1	7238	Human papillomavirus type 161 isolate KC1	Human papillomavirus type 161 isolate KC1, complete genome
NC_038506.1	3698	Laguna Negra virus glycoprotein precursor gene	Laguna Negra virus glycoprotein precursor gene, complete cds
NC_038505.1	1904	Laguna Negra virus nucleocapsid protein and putative nonstructural protein genes	Laguna Negra virus nucleocapsid protein and putative nonstructural protein genes, complete cds
NC_038497.1	2202	Human gemycircularvirus GeTz1	Human gemycircularvirus GeTz1, complete genome
NC_038496.1	2109	Gemycircularvirus C1c capsid protein (Cap) gene	Gemycircularvirus C1c capsid protein (Cap) gene, complete cds
NC_038436.1	9538	Human hepegivirus isolate AK-790 polyprotein gene	Human hepegivirus isolate AK-790 polyprotein gene, complete cds
NC_038418.1	1710	Cyclovirus SL-108277	Cyclovirus SL-108277, complete genome
NC_038417.1	1795	Cyclovirus NG14	Cyclovirus NG14, complete genome
NC_038416.1	1794	Cyclovirus NG12	Cyclovirus NG12, complete genome
NC_038415.1	1780	Cyclovirus PK5034	Cyclovirus PK5034, complete genome
NC_038414.1	1867	Cyclovirus TN25	Cyclovirus TN25, complete genome
NC_038413.1	1740	Cyclovirus PK5222	Cyclovirus PK5222, complete genome
NC_038412.1	1759	Cyclovirus PK5510	Cyclovirus PK5510, complete genome
NC_038392.1	1699	Human stool-associated circular virus NG13	Human stool-associated circular virus NG13, complete genome
NC_038374.1	3685	Choclo virus segment M	Choclo virus segment M, complete sequence
NC_038373.1	1972	Choclo virus segment S	Choclo virus segment S, complete sequence
NC_038361.1	3223	Torque teno midi virus 14 DNA	Torque teno midi virus 14 DNA, complete genome, isolate: MDJN97
NC_038360.1	3230	Torque teno midi virus 13 DNA	Torque teno midi virus 13 DNA, complete genome, isolate: MDJN69
NC_038359.1	3187	Torque teno midi virus 12 DNA	Torque teno midi virus 12 DNA, complete genome, isolate: MDJN51
NC_038358.1	3198	Torque teno midi virus 11 DNA	Torque teno midi virus 11 DNA, complete genome, isolate: MDJN47
NC_038357.1	3175	Torque teno midi virus 10 DNA	Torque teno midi virus 10 DNA, complete genome, isolate: MDJN14
NC_038356.1	3187	Torque teno midi virus 9 DNA	Torque teno midi virus 9 DNA, complete genome, isolate: MDJN2
NC_038355.1	3223	Torque teno midi virus 8 DNA	Torque teno midi virus 8 DNA, complete genome, isolate: MDJN1
NC_038354.1	3197	Torque teno midi virus 7 DNA	Torque teno midi virus 7 DNA, complete genome, isolate: MDJHem3-2
NC_038353.1	3198	Torque teno midi virus 6 DNA	Torque teno midi virus 6 DNA, complete genome, isolate: MDJHem3-1
NC_038352.1	3208	Torque teno midi virus 5 DNA	Torque teno midi virus 5 DNA, complete genome, isolate: MDJHem2
NC_038351.1	2454	Torque teno midi virus 4 isolate 6PoSMA ORF2	Torque teno midi virus 4 isolate 6PoSMA ORF2, ORF1, and ORF3 genes, complete cds
NC_038350.1	2002	Torque teno midi virus 3 isolate 2PoSMA ORF2 and ORF1 genes	Torque teno midi virus 3 isolate 2PoSMA ORF2 and ORF1 genes, complete cds
NC_038347.1	2912	Torque teno mini virus 12 isolate LIL-y3 ORF2	Torque teno mini virus 12 isolate LIL-y3 ORF2, ORF1, ORF3, and ORF4 genes, complete cds
NC_038346.1	2871	Torque teno mini virus 11 isolate LIL-y2 ORF2	Torque teno mini virus 11 isolate LIL-y2 ORF2, ORF1, and ORF3 genes, complete cds
NC_038345.1	2887	Torque teno mini virus 10 isolate LIL-y1 ORF2	Torque teno mini virus 10 isolate LIL-y1 ORF2, ORF1, ORF3, and ORF4 genes, complete cds
NC_038337.1	3064	Torque teno virus 9 clone BM1C-18 ORF2 (ORF2) gene	Torque teno virus 9 clone BM1C-18 ORF2 (ORF2) gene, complete cds; and nonfunctional ORF1 (ORF1) gene, complete sequence
NC_038311.1	7137	Human rhinovirus 1 strain ATCC VR-1559	Human rhinovirus 1 strain ATCC VR-1559, complete genome
NC_038308.1	7367	Human enterovirus 68 strain Fermon	Human enterovirus 68 strain Fermon, complete genome
NC_038307.1	7399	Coxsackievirus B3 mRNA	Coxsackievirus B3 mRNA, complete genome
NC_038283.1	12674	Ekpoma virus 2 isolate EKV-2	Ekpoma virus 2 isolate EKV-2, partial genome
NC_038282.1	12659	Ekpoma virus 1 isolate EKV-1	Ekpoma virus 1 isolate EKV-1, partial genome
NC_038270.1	15462	Simian Agent 10	Simian Agent 10, complete genome
NC_003391.1	205719	Camelpox virus	Camelpox virus, complete genome
NC_036877.1	1723	Cyclovirus PK5006	Cyclovirus PK5006, complete genome
NC_001885.3	8088	Gibbon ape leukemia virus gag	Gibbon ape leukemia virus gag, pol, and env genes, complete cds
NC_023874.2	1790	Human associated cyclovirus 10 strain 7078A	Human associated cyclovirus 10 strain 7078A, complete genome
